timestamp,fallo,temperatura
1552489800,0,0.633453064004526
1552490100,0,0.633453064004526
1552491300,0,0.633453064004526
1552491600,0,0.633453064004526
1552491900,0,0.633453064004526
1552492200,0,0.633453064004526
1552492500,0,0.633453064004526
1552492800,0,0.633453064004526
1552493100,0,0.633453064004526
1552493400,0,0.633453064004526
1552493700,0,0.633453064004526
1552494300,0,0.586525323907443
1552495200,0,0.586525323907443
1552495800,0,0.586525323907443
1552496100,0,0.586525323907443
1552496400,0,0.586525323907443
1552496700,0,0.586525323907443
1552498200,0,0.586525323907443
1552498500,0,0.586525323907443
1552498800,0,0.586525323907443
1552499100,0,0.586525323907443
1552499400,0,0.586525323907443
1552499700,0,0.586525323907443
1552500000,0,0.586525323907443
1552500300,0,0.586525323907443
1552500600,0,0.586525323907443
1552501200,0,0.586525323907443
1552501500,0,0.586525323907443
1552502100,0,0.586525323907443
1552502400,0,0.586525323907443
1552502700,0,0.586525323907443
1552503000,0,0.586525323907443
1552503300,0,0.586525323907443
1552506600,0,0.586525323907443
1552506900,0,0.258031143227871
1552507200,0,0.30495888332495
1552509600,0,0.30495888332495
1552509900,0,0.30495888332495
1552510200,0,0.30495888332495
1552511100,0,0.30495888332495
1552511400,0,0.30495888332495
1552511700,0,0.30495888332495
1552512000,0,0.30495888332495
1552512300,0,0.258031143227871
1552512600,0,0.258031143227871
1552512900,0,0.258031143227871
1552513200,0,0.258031143227871
1552516200,0,0.490266898986352
1552516500,0,0.490266898986352
1552516800,0,0.490266898986352
1552517100,0,0.490266898986352
1552517400,0,0.490266898986352
1552517700,0,0.490266898986352
1552518000,0,0.490266898986352
1552518300,0,0.490266898986352
1552518600,0,0.490266898986352
1552519500,0,0.490266898986352
1552519800,0,0.327712393707254
1552520100,0,0.327712393707254
1552520400,0,0.327712393707254
1552520700,0,0.327712393707254
1552521000,0,0.327712393707254
1552521300,0,0.327712393707254
1552521600,0,0.327712393707254
1552521900,0,0.327712393707254
1552522200,0,0.327712393707254
1552522500,0,0.327712393707254
1552522800,0,0.327712393707254
1552523100,0,0.327712393707254
1552524000,0,0.327712393707254
1552524300,0,0.327712393707254
1552524600,0,0.327712393707254
1552524900,0,0.327712393707254
1552525500,0,0.327712393707254
1552525800,0,0.327712393707254
1552526100,0,0.327712393707254
1552526400,0,0.327712393707254
1552526700,0,0.327712393707254
1552527000,0,0.327712393707254
1552527300,0,0.327712393707254
